index,31.08.2018,30.09.2018,31.10.2018,30.11.2018,31.12.2018,31.01.2019,28.02.2019,31.03.2019,30.04.2019,31.05.2019,30.06.2019,31.07.2019,31.08.2019,30.09.2019,31.10.2019,30.11.2019,31.12.2019,31.01.2020,29.02.2020,31.03.2020,30.04.2020,31.05.2020,30.06.2020,31.07.2020,31.08.2020,30.09.2020,31.10.2020,30.11.2020,31.12.2020
31.08.2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.09.2018,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.10.2018,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.11.2018,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.12.2018,,,,,14,30,24,26,21,15,18,24,20,12,12,16,16,17,8,8,0,0,0,0,0,0,0,0,0
31.01.2019,,,,,,10,22,24,26,18,12,13,11,10,12,14,13,6,13,16,12,11,9,14,5,0,0,12,0
28.02.2019,,,,,,,23,44,42,33,15,17,13,26,35,28,31,20,21,20,19,12,7,5,2,5,8,11,14
31.03.2019,,,,,,,,29,44,41,21,17,15,24,25,25,26,27,16,27,21,22,24,28,25,18,22,19,22
30.04.2019,,,,,,,,,23,29,16,13,12,14,14,11,12,17,14,24,19,16,15,13,18,5,9,7,4
31.05.2019,,,,,,,,,,14,12,6,2,0,18,22,16,19,19,22,21,22,-1,0,0,0,0,0,0
30.06.2019,,,,,,,,,,,14,17,22,14,18,15,20,13,18,23,20,16,7,22,2,1,9,8,11
31.07.2019,,,,,,,,,,,,21,36,28,23,20,27,21,41,37,33,26,26,6,7,7,5,12,8
31.08.2019,,,,,,,,,,,,,47,24,21,26,13,18,10,13,19,21,26,20,12,6,10,8,9
30.09.2019,,,,,,,,,,,,,,17,29,29,25,23,25,27,24,20,16,12,10,13,21,27,26
31.10.2019,,,,,,,,,,,,,,,19,24,21,16,22,24,27,24,21,11,14,15,14,10,12
30.11.2019,,,,,,,,,,,,,,,,28,38,31,29,34,26,25,27,27,21,22,30,28,24
31.12.2019,,,,,,,,,,,,,,,,,28,36,31,28,27,26,27,18,12,17,20,24,24
31.01.2020,,,,,,,,,,,,,,,,,,18,29,25,32,24,18,18,18,14,14,14,17
29.02.2020,,,,,,,,,,,,,,,,,,,19,40,39,35,25,22,19,16,19,19,24
31.03.2020,,,,,,,,,,,,,,,,,,,,29,62,59,37,38,22,22,18,18,22
30.04.2020,,,,,,,,,,,,,,,,,,,,,32,50,36,26,24,19,17,15,17
31.05.2020,,,,,,,,,,,,,,,,,,,,,,24,42,33,22,14,15,14,13
30.06.2020,,,,,,,,,,,,,,,,,,,,,,,30,43,28,13,16,12,10
31.07.2020,,,,,,,,,,,,,,,,,,,,,,,,35,44,26,24,21,17
31.08.2020,,,,,,,,,,,,,,,,,,,,,,,,,28,22,22,19,15
30.09.2020,,,,,,,,,,,,,,,,,,,,,,,,,,17,30,25,25
31.10.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,17,29,27
30.11.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,29
31.12.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
