index,31.08.2018,30.09.2018,31.10.2018,30.11.2018,31.12.2018,31.01.2019,28.02.2019,31.03.2019,30.04.2019,31.05.2019,30.06.2019,31.07.2019,31.08.2019,30.09.2019,31.10.2019,30.11.2019,31.12.2019,31.01.2020,29.02.2020,31.03.2020,30.04.2020,31.05.2020,30.06.2020,31.07.2020,31.08.2020,30.09.2020,31.10.2020,30.11.2020,31.12.2020
31.08.2018,38,19,8,25,31,14,15,18,14,11,16,7,2,0,4,7,7,5,3,0,2,0,0,0,0,0,0,0,0
30.09.2018,,14,21,18,19,17,16,14,16,6,10,6,1,4,9,7,7,4,5,4,3,3,7,2,4,4,2,2,2
31.10.2018,,,21,26,21,13,16,17,10,12,12,15,13,8,9,15,7,6,6,11,11,8,6,12,5,6,5,4,5
30.11.2018,,,,18,24,21,25,28,14,17,27,15,10,11,13,10,13,4,6,8,5,5,5,14,16,10,8,4,4
31.12.2018,,,,,36,34,36,33,27,6,5,2,5,3,5,6,15,12,12,8,1,4,5,6,2,1,0,0,14
31.01.2019,,,,,,23,27,32,15,15,10,3,0,4,9,15,13,10,12,15,11,14,13,4,4,2,4,4,4
28.02.2019,,,,,,,20,35,25,15,11,18,16,9,11,15,12,7,10,15,15,11,7,7,4,8,11,9,8
31.03.2019,,,,,,,,21,25,18,19,18,16,15,11,15,15,11,11,13,14,15,12,11,9,6,7,8,8
30.04.2019,,,,,,,,,15,31,26,23,15,6,10,15,12,12,12,19,12,17,6,13,16,11,8,12,10
31.05.2019,,,,,,,,,,24,22,14,4,8,9,8,5,5,5,6,4,4,5,5,6,4,4,5,5
30.06.2019,,,,,,,,,,,17,33,19,13,12,11,11,12,12,18,17,17,11,8,7,5,6,7,11
31.07.2019,,,,,,,,,,,,31,26,19,13,12,11,10,10,10,11,13,10,5,8,8,10,9,8
31.08.2019,,,,,,,,,,,,,19,13,10,9,12,9,9,8,7,9,4,4,3,3,3,2,3
30.09.2019,,,,,,,,,,,,,,18,22,21,20,16,16,17,17,18,14,8,5,5,7,7,7
31.10.2019,,,,,,,,,,,,,,,12,27,23,18,18,15,15,16,11,13,9,8,11,12,11
30.11.2019,,,,,,,,,,,,,,,,13,20,15,15,15,12,14,9,8,6,5,8,8,9
31.12.2019,,,,,,,,,,,,,,,,,26,32,31,26,26,33,30,27,12,18,24,24,25
31.01.2020,,,,,,,,,,,,,,,,,,19,25,21,19,19,15,11,9,6,7,7,8
29.02.2020,,,,,,,,,,,,,,,,,,,18,39,31,29,24,23,14,16,17,14,19
31.03.2020,,,,,,,,,,,,,,,,,,,,20,41,35,29,20,15,11,16,18,18
30.04.2020,,,,,,,,,,,,,,,,,,,,,31,40,29,11,9,7,12,14,14
31.05.2020,,,,,,,,,,,,,,,,,,,,,,15,26,14,10,7,8,4,9
30.06.2020,,,,,,,,,,,,,,,,,,,,,,,29,49,29,14,13,11,10
31.07.2020,,,,,,,,,,,,,,,,,,,,,,,,24,30,17,14,12,11
31.08.2020,,,,,,,,,,,,,,,,,,,,,,,,,23,21,23,18,18
30.09.2020,,,,,,,,,,,,,,,,,,,,,,,,,,17,30,27,22
31.10.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,18,23,18
30.11.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,32
31.12.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
