index,31.08.2018,30.09.2018,31.10.2018,30.11.2018,31.12.2018,31.01.2019,28.02.2019,31.03.2019,30.04.2019,31.05.2019,30.06.2019,31.07.2019,31.08.2019,30.09.2019,31.10.2019,30.11.2019,31.12.2019,31.01.2020,29.02.2020,31.03.2020,30.04.2020,31.05.2020,30.06.2020,31.07.2020,31.08.2020,30.09.2020,31.10.2020,30.11.2020,31.12.2020
31.08.2018,15,22,19,15,18,13,14,18,10,14,9,7,13,7,11,11,9,8,8,9,10,8,11,10,8,7,7,7,8
30.09.2018,,21,34,38,35,25,27,31,28,21,12,9,8,14,17,18,16,14,14,15,16,20,19,16,17,17,16,19,18
31.10.2018,,,18,26,22,18,17,15,12,11,7,5,6,8,11,10,10,10,10,10,10,9,9,7,7,7,8,9,10
30.11.2018,,,,18,27,20,18,20,17,16,9,8,8,8,12,12,11,12,13,13,13,12,11,6,6,6,9,9,8
31.12.2018,,,,,21,24,19,20,18,13,10,7,6,9,8,10,8,6,7,7,5,5,4,3,5,5,7,7,7
31.01.2019,,,,,,18,27,30,28,21,13,8,9,13,15,18,19,14,13,16,13,14,14,14,8,11,10,12,12
28.02.2019,,,,,,,23,36,29,24,16,11,10,16,23,23,23,21,21,26,32,31,24,17,12,14,19,22,24
31.03.2019,,,,,,,,22,29,24,15,10,13,13,16,21,20,17,15,17,17,17,15,12,9,9,12,12,9
30.04.2019,,,,,,,,,24,32,25,15,20,20,22,20,20,14,15,19,17,13,14,8,6,4,6,5,6
31.05.2019,,,,,,,,,,20,30,21,22,17,18,19,21,21,20,21,16,15,11,10,9,9,11,10,9
30.06.2019,,,,,,,,,,,26,27,20,20,18,19,16,15,15,17,16,16,19,19,15,11,11,11,10
31.07.2019,,,,,,,,,,,,22,44,21,18,20,18,18,18,27,23,21,20,18,17,12,12,11,11
31.08.2019,,,,,,,,,,,,,33,23,24,26,20,15,19,19,22,21,16,18,14,12,12,11,13
30.09.2019,,,,,,,,,,,,,,16,29,27,25,21,20,50,36,18,15,13,10,11,13,13,13
31.10.2019,,,,,,,,,,,,,,,17,28,24,20,20,22,20,17,13,11,9,11,13,12,13
30.11.2019,,,,,,,,,,,,,,,,25,40,32,31,31,28,28,24,20,16,17,22,18,19
31.12.2019,,,,,,,,,,,,,,,,,19,27,24,24,21,19,18,14,11,15,18,19,18
31.01.2020,,,,,,,,,,,,,,,,,,23,30,29,24,22,21,16,15,14,16,16,14
29.02.2020,,,,,,,,,,,,,,,,,,,17,31,25,22,20,16,13,13,16,15,15
31.03.2020,,,,,,,,,,,,,,,,,,,,21,35,29,24,18,16,13,17,15,15
30.04.2020,,,,,,,,,,,,,,,,,,,,,32,41,31,22,18,15,16,16,13
31.05.2020,,,,,,,,,,,,,,,,,,,,,,26,45,33,25,18,17,13,14
30.06.2020,,,,,,,,,,,,,,,,,,,,,,,31,39,28,17,19,16,14
31.07.2020,,,,,,,,,,,,,,,,,,,,,,,,30,38,21,21,18,13
31.08.2020,,,,,,,,,,,,,,,,,,,,,,,,,24,23,24,18,17
30.09.2020,,,,,,,,,,,,,,,,,,,,,,,,,,19,30,24,22
31.10.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,19,28,24
30.11.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,30
31.12.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
